2026-07-09T16:00:48Z,up,200,0.161980,up,200,0.281320
2026-07-09T16:30:46Z,up,200,0.192594,up,200,0.197425
2026-07-09T17:00:49Z,up,200,0.148461,up,200,0.104465
2026-07-09T17:16:39Z,up,200,0.169806,up,200,0.185307
2026-07-09T17:30:48Z,up,200,0.155423,up,200,0.106293
2026-07-09T18:30:47Z,up,200,0.214665,up,200,0.162024
2026-07-09T19:00:46Z,up,200,0.260297,up,200,0.147456
2026-07-09T19:28:59Z,up,200,0.345924,up,200,0.165273
2026-07-09T19:30:46Z,up,200,0.195343,up,200,0.153530
2026-07-09T20:00:47Z,up,200,0.226067,up,200,0.247637
2026-07-09T20:30:46Z,up,200,0.297681,up,200,0.227224
2026-07-09T21:17:30Z,up,200,0.177096,up,200,0.188961
2026-07-09T21:30:48Z,up,200,0.246298,up,200,0.181652
2026-07-09T22:01:06Z,up,200,0.142625,up,200,0.107866
2026-07-09T22:31:03Z,up,200,0.132970,up,200,0.341579
2026-07-09T23:01:04Z,up,200,0.252559,up,200,0.226586
2026-07-09T23:06:24Z,up,200,0.159594,up,200,0.152237
2026-07-09T23:31:03Z,up,200,0.290248,up,200,0.365905
2026-07-10T00:01:04Z,up,200,0.196873,up,200,0.094035
2026-07-10T00:31:01Z,up,200,1.299932,up,200,0.140971
2026-07-10T01:00:59Z,up,200,0.189839,up,200,0.234662
2026-07-10T01:31:01Z,up,200,0.085297,up,200,0.112872
2026-07-10T02:01:01Z,up,200,0.134522,up,200,0.142615
2026-07-10T02:27:25Z,up,200,0.208069,up,200,0.128226
2026-07-10T02:31:01Z,up,200,0.173753,up,200,0.311126
2026-07-10T03:00:59Z,up,200,0.092688,up,200,0.107848
2026-07-10T03:30:57Z,up,200,0.105535,up,200,0.195094
2026-07-10T04:01:03Z,up,200,0.223177,up,200,0.225697
2026-07-10T04:30:57Z,up,200,0.132480,up,200,0.210033
2026-07-10T05:01:02Z,up,200,0.191241,up,200,0.185302
2026-07-10T05:30:59Z,up,200,0.129810,up,200,0.105865
2026-07-10T06:01:03Z,up,200,0.109583,up,200,0.102483
2026-07-10T06:31:02Z,up,200,0.121093,up,200,0.220398
2026-07-10T06:38:48Z,up,200,0.182214,up,200,0.207280
2026-07-10T07:01:04Z,up,200,0.127818,up,200,0.138765
2026-07-10T07:30:59Z,up,200,0.122105,up,200,0.090691
2026-07-10T08:01:04Z,up,200,0.126606,up,200,0.092909
2026-07-10T08:31:01Z,up,200,0.201678,up,200,0.120886
2026-07-10T09:31:01Z,up,200,0.287897,up,200,0.126288
2026-07-10T10:01:00Z,up,200,0.195099,up,200,0.220743
2026-07-10T10:18:50Z,up,200,0.089135,up,200,0.085499
2026-07-10T10:31:00Z,up,200,0.115360,up,200,0.092220
2026-07-10T11:01:03Z,up,200,0.288741,up,200,0.500145
2026-07-10T11:31:02Z,up,200,0.143903,up,200,0.193871
2026-07-10T12:31:01Z,up,200,0.221079,up,200,0.199027
2026-07-10T13:00:59Z,up,200,0.137603,up,200,0.247128
2026-07-10T13:07:56Z,up,200,0.282441,up,200,0.176109
2026-07-10T13:31:02Z,up,200,0.191829,up,200,0.187824
2026-07-10T14:01:03Z,up,200,0.200512,up,200,0.279177
2026-07-10T14:31:03Z,up,200,0.105837,up,200,0.114590
2026-07-10T15:01:01Z,up,200,0.098968,up,200,0.089459
2026-07-10T15:31:03Z,up,200,0.114464,up,200,0.223677
2026-07-10T16:01:04Z,up,200,0.096399,up,200,0.241639
2026-07-10T16:21:10Z,up,200,0.137698,up,200,0.145388
2026-07-10T16:31:02Z,up,200,0.096464,up,200,0.122753
2026-07-10T17:01:07Z,up,200,0.191151,up,200,0.235112
2026-07-10T17:30:59Z,up,200,0.287760,up,200,0.184443
2026-07-10T18:01:00Z,up,200,0.254589,up,200,0.136234
2026-07-10T18:19:03Z,up,200,0.192357,up,200,0.164614
2026-07-10T18:31:07Z,up,200,0.220970,up,200,0.155602
2026-07-10T19:00:59Z,up,200,0.143479,up,200,0.191179
2026-07-10T19:31:03Z,up,200,0.300156,up,200,0.281629
2026-07-10T20:01:04Z,up,200,0.247161,up,200,0.096937
