timestamp,website_result,website_http,website_time,ai_result,ai_http,ai_time
2026-07-01T00:00:30Z,up,200,0.300007,up,200,0.173309
2026-07-01T00:02:42Z,up,200,0.070540,up,200,0.068554
2026-07-01T00:30:28Z,up,200,0.125610,up,200,0.153575
2026-07-01T01:00:28Z,up,200,0.067289,up,200,0.066293
2026-07-01T01:30:28Z,up,200,0.141427,up,200,0.122379
2026-07-01T02:00:25Z,up,200,0.073993,up,200,0.076395
2026-07-01T02:30:25Z,up,200,0.078213,up,200,0.066857
2026-07-01T03:00:29Z,up,200,0.084506,up,200,0.085674
2026-07-01T03:30:28Z,up,200,0.126309,up,200,0.119106
2026-07-01T04:00:25Z,up,200,0.058682,up,200,0.066443
2026-07-01T04:30:30Z,up,200,0.069310,up,200,0.113486
2026-07-01T05:00:25Z,up,200,0.069551,up,200,0.065814
2026-07-01T05:18:19Z,up,200,0.069881,up,200,0.078035
2026-07-01T05:30:25Z,up,200,0.060510,up,200,0.085382
2026-07-01T06:00:26Z,up,200,0.095791,up,200,0.131755
2026-07-01T06:30:25Z,up,200,0.067107,up,200,0.076114
2026-07-01T07:00:27Z,up,200,0.092067,up,200,0.093067
2026-07-01T07:30:25Z,up,200,0.073156,up,200,0.077989
2026-07-01T08:00:28Z,up,200,0.073539,up,200,0.091259
2026-07-01T08:30:29Z,up,200,0.106130,up,200,0.093766
2026-07-01T09:00:28Z,up,200,0.128177,up,200,0.104561
2026-07-01T09:30:26Z,up,200,0.114630,up,200,0.092706
2026-07-01T09:36:06Z,up,200,0.122090,up,200,0.102682
2026-07-01T10:00:27Z,up,200,0.086120,up,200,0.073314
2026-07-01T10:30:28Z,up,200,0.123739,up,200,0.113077
2026-07-01T11:00:28Z,up,200,0.069901,up,200,0.067269
2026-07-01T11:30:27Z,up,200,0.071910,up,200,0.068843
2026-07-01T12:00:27Z,up,200,0.081465,up,200,0.126952
2026-07-01T12:30:14Z,up,200,0.081321,up,200,0.070575
2026-07-01T12:30:28Z,up,200,0.081375,up,200,0.114338
2026-07-01T13:00:26Z,up,200,0.074368,up,200,0.082569
2026-07-01T13:30:27Z,up,200,0.084561,up,200,0.107396
2026-07-01T14:00:30Z,up,200,0.104928,up,200,0.121232
2026-07-01T14:30:30Z,up,200,0.070533,up,200,0.075169
2026-07-01T15:00:30Z,up,200,0.161981,up,200,0.068921
2026-07-01T15:30:28Z,up,200,0.069386,up,200,0.079485
2026-07-01T15:37:32Z,up,200,0.076542,up,200,0.108773
2026-07-01T16:00:34Z,up,200,0.069899,up,200,0.092262
2026-07-01T16:30:30Z,up,200,0.160438,up,200,0.152124
2026-07-01T17:00:30Z,up,200,0.215933,up,200,0.153640
2026-07-01T17:30:28Z,up,200,0.129111,up,200,0.342229
2026-07-01T17:49:42Z,up,200,0.131424,up,200,0.078085
2026-07-01T18:00:26Z,up,200,0.090024,up,200,0.096518
2026-07-01T18:30:29Z,up,200,0.086540,up,200,0.086902
2026-07-01T19:00:29Z,up,200,0.077521,up,200,0.079156
2026-07-01T19:30:28Z,up,200,0.080790,up,200,0.087144
2026-07-01T19:45:10Z,up,200,0.083028,up,200,0.085006
2026-07-01T20:00:29Z,up,200,0.157697,up,200,0.195585
2026-07-01T20:30:28Z,up,200,0.169630,up,200,0.215504
2026-07-01T21:00:29Z,up,200,0.097629,up,200,0.080722
2026-07-01T21:22:26Z,up,200,0.120061,up,200,0.076128
2026-07-01T21:30:27Z,up,200,0.069925,up,200,0.105410
2026-07-01T22:00:29Z,up,200,0.211818,up,200,0.199942
2026-07-01T22:30:28Z,up,200,0.061460,up,200,0.081793
2026-07-01T23:00:27Z,up,200,0.095352,up,200,0.080183
2026-07-01T23:08:02Z,up,200,0.113923,up,200,0.157053
2026-07-01T23:30:27Z,up,200,0.113001,up,200,0.243166
2026-07-02T00:00:27Z,up,200,0.069912,up,200,0.096631
2026-07-02T00:30:25Z,up,200,0.072244,up,200,0.079040
2026-07-02T01:00:28Z,up,200,0.151433,up,200,0.125852
2026-07-02T01:30:26Z,up,200,0.111844,up,200,0.125352
2026-07-02T02:00:31Z,up,200,0.218947,up,200,0.166252
2026-07-02T02:30:28Z,up,200,0.068673,up,200,0.071536
2026-07-02T02:43:23Z,up,200,0.090561,up,200,0.078108
2026-07-02T03:00:27Z,up,200,0.115645,up,200,0.111014
2026-07-02T03:30:28Z,up,200,0.072505,up,200,0.076770
2026-07-02T04:00:27Z,up,200,0.066140,up,200,0.072015
2026-07-02T04:30:25Z,up,200,0.063332,up,200,0.069070
2026-07-02T05:00:26Z,up,200,0.073077,up,200,0.076170
2026-07-02T05:30:27Z,up,200,0.070740,up,200,0.093368
2026-07-02T06:00:28Z,up,200,0.085041,up,200,0.075028
2026-07-02T06:30:25Z,up,200,0.094328,up,200,0.087350
2026-07-02T06:35:47Z,up,200,0.066890,up,200,0.068890
2026-07-02T07:00:28Z,up,200,0.096490,up,200,0.089601
2026-07-02T07:30:27Z,up,200,0.084880,up,200,0.102421
2026-07-02T08:00:27Z,up,200,0.072612,up,200,0.077496
2026-07-02T08:30:28Z,up,200,0.066120,up,200,0.092657
2026-07-02T09:00:29Z,up,200,0.066993,up,200,0.061986
2026-07-02T09:30:31Z,up,200,0.413427,up,200,0.107671
2026-07-02T09:56:45Z,up,200,0.069813,up,200,0.080107
2026-07-02T10:00:26Z,up,200,0.092803,up,200,0.090590
2026-07-02T10:30:27Z,up,200,0.059358,up,200,0.077690
2026-07-02T11:00:30Z,up,200,0.089248,up,200,0.094842
2026-07-02T11:30:28Z,up,200,0.095507,up,200,0.107193
2026-07-02T12:00:26Z,up,200,0.124338,up,200,0.088366
2026-07-02T12:08:21Z,up,200,0.084843,up,200,0.074271
2026-07-02T12:30:26Z,up,200,0.083697,up,200,0.069771
2026-07-02T13:00:32Z,up,200,0.080002,up,200,0.086620
2026-07-02T13:30:27Z,up,200,0.070594,up,200,0.085295
2026-07-02T14:00:27Z,up,200,0.072611,up,200,0.094862
2026-07-02T14:30:31Z,up,200,0.098670,up,200,0.086325
2026-07-02T15:00:30Z,up,200,0.069861,up,200,0.075951
2026-07-02T15:10:15Z,up,200,0.116767,up,200,0.080639
2026-07-02T15:30:31Z,up,200,0.179008,up,200,0.141306
2026-07-02T16:00:29Z,up,200,0.112171,up,200,0.091667
2026-07-02T16:30:29Z,up,200,0.164145,up,200,0.134301
2026-07-02T17:00:28Z,up,200,0.081592,up,200,0.079807
2026-07-02T17:31:02Z,up,200,0.127881,up,200,0.113615
2026-07-02T17:40:27Z,up,200,0.094734,up,200,0.160794
2026-07-02T18:00:41Z,up,200,0.084899,up,200,0.083246
2026-07-02T18:30:41Z,up,200,0.082172,up,200,0.090522
2026-07-02T19:00:43Z,up,200,0.085086,up,200,0.094428
2026-07-02T19:16:03Z,up,200,0.079504,up,200,0.072408
2026-07-02T19:30:42Z,up,200,0.084331,up,200,0.098827
2026-07-02T20:00:43Z,up,200,0.175844,up,200,0.166428
2026-07-02T20:30:41Z,up,200,0.095191,up,200,0.079746
2026-07-02T20:58:14Z,up,200,0.064201,up,200,0.084286
2026-07-02T21:00:41Z,up,200,0.105493,up,200,0.097869
2026-07-02T21:30:42Z,up,200,0.240375,up,200,0.077182
2026-07-02T22:00:42Z,up,200,0.149227,up,200,0.178605
2026-07-02T22:09:37Z,up,200,0.113730,up,200,0.107324
2026-07-02T22:30:41Z,up,200,0.088619,up,200,0.103732
2026-07-02T23:00:42Z,up,200,0.082213,up,200,0.074453
2026-07-02T23:30:44Z,up,200,0.132232,up,200,0.138568
2026-07-03T00:00:18Z,up,200,0.088684,up,200,0.097508
2026-07-03T00:00:42Z,up,200,0.142567,up,200,0.149829
2026-07-03T00:30:44Z,up,200,0.223614,up,200,0.303970
2026-07-03T01:00:43Z,up,200,0.092012,up,200,0.068671
2026-07-03T01:30:42Z,up,200,0.100323,up,200,0.095392
2026-07-03T02:00:39Z,up,200,0.065396,up,200,0.086334
2026-07-03T02:30:43Z,up,200,0.149250,up,200,0.160710
2026-07-03T03:00:40Z,up,200,0.068190,up,200,0.164322
2026-07-03T03:30:41Z,up,200,0.131307,up,200,0.125626
2026-07-03T04:00:40Z,up,200,0.081779,up,200,0.099406
2026-07-03T04:30:39Z,up,200,0.132880,up,200,0.088998
2026-07-03T04:37:30Z,up,200,0.064857,up,200,0.119606
2026-07-03T05:00:44Z,up,200,0.216595,up,200,0.135757
2026-07-03T05:30:39Z,up,200,0.098751,up,200,0.079493
2026-07-03T06:00:40Z,up,200,0.083961,up,200,0.112794
2026-07-03T06:30:42Z,up,200,0.067465,up,200,0.076217
2026-07-03T07:00:42Z,up,200,0.093181,up,200,0.074282
2026-07-03T07:30:40Z,up,200,0.065397,up,200,0.076491
2026-07-03T07:57:32Z,up,200,0.055619,up,200,0.084219
2026-07-03T08:00:42Z,up,200,0.063246,up,200,0.102813
2026-07-03T08:30:42Z,up,200,0.084599,up,200,0.072521
2026-07-03T09:00:40Z,up,200,0.079445,up,200,0.078454
2026-07-03T09:30:40Z,up,200,0.078216,up,200,0.081128
2026-07-03T10:00:42Z,up,200,0.064522,up,200,0.073460
2026-07-03T10:30:41Z,up,200,0.086960,up,200,0.081497
2026-07-03T10:36:24Z,up,200,0.059903,up,200,0.083632
2026-07-03T11:00:43Z,up,200,0.066273,up,200,0.076537
2026-07-03T11:30:40Z,up,200,0.075959,up,200,0.130275
2026-07-03T12:00:43Z,up,200,0.068221,up,200,0.084859
2026-07-03T12:30:43Z,up,200,0.089726,up,200,0.067647
2026-07-03T12:52:37Z,up,200,0.066449,up,200,0.062216
2026-07-03T13:00:43Z,up,200,0.071170,up,200,0.071496
2026-07-03T13:30:40Z,up,200,0.071540,up,200,0.116732
2026-07-03T14:00:42Z,up,200,0.079160,up,200,0.090852
2026-07-03T14:30:40Z,up,200,0.088683,up,200,0.085151
2026-07-03T15:00:42Z,up,200,0.077286,up,200,0.080025
2026-07-03T15:05:33Z,up,200,0.088017,up,200,0.130704
2026-07-03T15:30:43Z,up,200,0.132411,up,200,0.103299
2026-07-03T16:00:43Z,up,200,0.068664,up,200,0.063677
2026-07-03T16:30:40Z,up,200,0.064217,up,200,0.078954
2026-07-03T17:00:41Z,up,200,0.117277,up,200,0.139870
2026-07-03T17:18:44Z,up,200,0.071534,up,200,0.154122
2026-07-03T17:30:43Z,up,200,0.122583,up,200,0.210192
2026-07-03T18:00:41Z,up,200,0.082001,up,200,0.148914
2026-07-03T18:30:40Z,up,200,0.077500,up,200,0.092803
2026-07-03T19:00:40Z,up,200,0.085754,up,200,0.109982
2026-07-03T19:10:31Z,up,200,0.161121,up,200,0.124965
2026-07-03T19:30:41Z,up,200,0.076383,up,200,0.119669
2026-07-03T20:00:40Z,up,200,0.080676,up,200,0.091333
2026-07-03T20:30:40Z,up,200,0.067793,up,200,0.085869
2026-07-03T20:57:36Z,up,200,0.063805,up,200,0.098718
2026-07-03T21:00:40Z,up,200,0.100602,up,200,0.092871
2026-07-03T21:30:43Z,up,200,0.126633,up,200,0.283558
2026-07-03T22:00:40Z,up,200,0.090144,up,200,0.124608
2026-07-03T22:05:07Z,up,200,0.065748,up,200,0.080204
2026-07-03T22:30:42Z,up,200,0.089148,up,200,0.083433
2026-07-03T23:01:01Z,up,200,0.068501,up,200,0.086806
2026-07-03T23:31:03Z,up,200,0.126331,up,200,0.118273
2026-07-03T23:59:28Z,up,200,0.062133,up,200,0.066433
2026-07-04T00:01:00Z,up,200,0.098693,up,200,0.120585
2026-07-04T00:31:04Z,up,200,0.109596,up,200,0.621431
2026-07-04T01:01:02Z,up,200,0.072550,up,200,0.070838
2026-07-04T01:31:01Z,up,200,0.069538,up,200,0.089720
2026-07-04T02:01:04Z,up,200,0.146330,up,200,0.116645
2026-07-04T02:31:02Z,up,200,0.085706,up,200,0.075442
2026-07-04T03:01:03Z,up,200,0.128095,up,200,0.147019
2026-07-04T03:31:01Z,up,200,0.067834,up,200,0.080417
2026-07-04T03:41:50Z,up,200,0.058667,up,200,0.078371
2026-07-04T04:01:03Z,up,200,0.092149,up,200,0.084937
2026-07-04T04:31:01Z,up,200,0.079968,up,200,0.085309
2026-07-04T05:01:01Z,up,200,0.125216,up,200,0.076983
2026-07-04T05:31:03Z,up,200,0.112340,up,200,0.125154
2026-07-04T06:01:01Z,up,200,0.071080,up,200,0.068164
2026-07-04T06:31:02Z,up,200,0.101614,up,200,0.060694
2026-07-04T06:42:46Z,up,200,0.063615,up,200,0.066434
2026-07-04T07:01:03Z,up,200,0.071745,up,200,0.070942
2026-07-04T07:31:03Z,up,200,0.112067,up,200,0.123935
2026-07-04T08:01:01Z,up,200,0.079794,up,200,0.093242
2026-07-04T08:31:01Z,up,200,0.070395,up,200,0.078125
2026-07-04T09:01:02Z,up,200,0.122544,up,200,0.098195
2026-07-04T09:18:16Z,up,200,0.062287,up,200,0.064277
2026-07-04T09:31:00Z,up,200,0.074500,up,200,0.122334
2026-07-04T10:01:01Z,up,200,0.066385,up,200,0.083654
2026-07-04T10:31:04Z,up,200,0.080499,up,200,0.090173
2026-07-04T11:01:03Z,up,200,0.106738,up,200,0.092127
2026-07-04T11:22:02Z,up,200,0.090979,up,200,0.088709
2026-07-04T11:31:02Z,up,200,0.099301,up,200,0.116147
2026-07-04T12:01:04Z,up,200,0.073947,up,200,0.068689
2026-07-04T12:31:01Z,up,200,0.066049,up,200,0.083858
2026-07-04T13:01:04Z,up,200,0.061769,up,200,0.044553
2026-07-04T13:10:50Z,up,200,0.067825,up,200,0.068620
2026-07-04T13:31:03Z,up,200,0.075284,up,200,0.094016
2026-07-04T14:01:03Z,up,200,0.061064,up,200,0.065639
2026-07-04T14:31:04Z,up,200,0.075201,up,200,0.066826
2026-07-04T15:01:05Z,up,200,0.082390,up,200,0.070335
2026-07-04T15:31:02Z,up,200,0.108757,up,200,0.108081
2026-07-04T16:01:02Z,up,200,0.098856,up,200,0.064698
2026-07-04T16:31:02Z,up,200,0.080811,up,200,0.077664
2026-07-04T16:58:35Z,up,200,0.137299,up,200,0.112890
2026-07-04T17:01:00Z,up,200,0.073396,up,200,0.092880
2026-07-04T17:31:01Z,up,200,0.082282,up,200,0.081867
2026-07-04T18:01:02Z,up,200,0.082262,up,200,0.097140
2026-07-04T18:04:27Z,up,200,0.061149,up,200,0.092435
2026-07-04T18:31:01Z,up,200,0.100262,up,200,0.081397
